k,ct_AIO,ct_linear,nt_AIO,nt_linear,k_ss,k_ss_low_ci,k_ss_high_ci
0.99236554,0.33430547,0.33612722,0.32304358,0.32235125,1.31625315641241,1.154309353333907,1.478196959490913
0.9989087,0.3353686,0.3371417,0.32273132,0.32203162,1.31625315641241,1.154309353333907,1.478196959490913
1.0054519,0.33643112,0.3381562,0.32241786,0.321712,1.31625315641241,1.154309353333907,1.478196959490913
1.0119951,0.3374928,0.3391707,0.3221032,0.32139236,1.31625315641241,1.154309353333907,1.478196959490913
1.0185382,0.3385539,0.34018517,0.32178742,0.32107276,1.31625315641241,1.154309353333907,1.478196959490913
1.0250815,0.33961433,0.3411997,0.32147047,0.3207531,1.31625315641241,1.154309353333907,1.478196959490913
1.0316247,0.34067398,0.34221417,0.32115242,0.3204335,1.31625315641241,1.154309353333907,1.478196959490913
1.0381678,0.34173307,0.34322867,0.32083338,0.32011387,1.31625315641241,1.154309353333907,1.478196959490913
1.044711,0.34279147,0.34424317,0.32051334,0.31979424,1.31625315641241,1.154309353333907,1.478196959490913
1.0512542,0.34384918,0.34525764,0.32019228,0.3194746,1.31625315641241,1.154309353333907,1.478196959490913
1.0577974,0.3449062,0.34627217,0.31987026,0.31915498,1.31625315641241,1.154309353333907,1.478196959490913
1.0643406,0.34596264,0.34728664,0.31954738,0.31883535,1.31625315641241,1.154309353333907,1.478196959490913
1.0708838,0.34701836,0.34830114,0.31922364,0.31851572,1.31625315641241,1.154309353333907,1.478196959490913
1.0774269,0.34807342,0.34931564,0.31889904,0.3181961,1.31625315641241,1.154309353333907,1.478196959490913
1.0839701,0.3491279,0.3503301,0.31857368,0.31787646,1.31625315641241,1.154309353333907,1.478196959490913
1.0905133,0.35018167,0.35134465,0.31824756,0.31755683,1.31625315641241,1.154309353333907,1.478196959490913
1.0970565,0.3512347,0.35235912,0.31792074,0.3172372,1.31625315641241,1.154309353333907,1.478196959490913
1.1035997,0.3522871,0.35337362,0.31759328,0.31691757,1.31625315641241,1.154309353333907,1.478196959490913
1.1101428,0.35333875,0.3543881,0.3172652,0.31659794,1.31625315641241,1.154309353333907,1.478196959490913
1.116686,0.3543898,0.3554026,0.31693652,0.31627834,1.31625315641241,1.154309353333907,1.478196959490913
1.1232293,0.35544008,0.3564171,0.31660733,0.31595868,1.31625315641241,1.154309353333907,1.478196959490913
1.1297724,0.35648963,0.3574316,0.31627762,0.31563908,1.31625315641241,1.154309353333907,1.478196959490913
1.1363156,0.3575384,0.3584461,0.31594744,0.31531945,1.31625315641241,1.154309353333907,1.478196959490913
1.1428587,0.3585865,0.35946056,0.31561688,0.31499982,1.31625315641241,1.154309353333907,1.478196959490913
1.1494019,0.35963377,0.36047506,0.31528592,0.3146802,1.31625315641241,1.154309353333907,1.478196959490913
1.1559452,0.3606803,0.36148956,0.3149546,0.31436056,1.31625315641241,1.154309353333907,1.478196959490913
1.1624883,0.36172605,0.36250407,0.314623,0.31404093,1.31625315641241,1.154309353333907,1.478196959490913
1.1690315,0.36277097,0.36351854,0.31429115,0.3137213,1.31625315641241,1.154309353333907,1.478196959490913
1.1755747,0.36381504,0.36453304,0.31395912,0.31340167,1.31625315641241,1.154309353333907,1.478196959490913
1.1821179,0.36485836,0.36554754,0.31362692,0.31308204,1.31625315641241,1.154309353333907,1.478196959490913
1.1886611,0.36590075,0.36656204,0.3132946,0.3127624,1.31625315641241,1.154309353333907,1.478196959490913
1.1952043,0.36694226,0.36757654,0.31296214,0.31244278,1.31625315641241,1.154309353333907,1.478196959490913
1.2017474,0.36798286,0.368591,0.3126297,0.31212315,1.31625315641241,1.154309353333907,1.478196959490913
1.2082906,0.36902255,0.3696055,0.31229722,0.31180352,1.31625315641241,1.154309353333907,1.478196959490913
1.2148339,0.37006128,0.37062,0.31196475,0.3114839,1.31625315641241,1.154309353333907,1.478196959490913
1.221377,0.37109908,0.3716345,0.31163245,0.31116426,1.31625315641241,1.154309353333907,1.478196959490913
1.2279202,0.37213588,0.37264898,0.3113002,0.31084466,1.31625315641241,1.154309353333907,1.478196959490913
1.2344633,0.3731717,0.37366349,0.31096813,0.31052503,1.31625315641241,1.154309353333907,1.478196959490913
1.2410065,0.3742065,0.374678,0.31063625,0.3102054,1.31625315641241,1.154309353333907,1.478196959490913
1.2475498,0.37524024,0.3756925,0.31030455,0.30988577,1.31625315641241,1.154309353333907,1.478196959490913
1.2540929,0.3762729,0.376707,0.30997318,0.30956614,1.31625315641241,1.154309353333907,1.478196959490913
1.2606361,0.37730446,0.37772146,0.30964214,0.3092465,1.31625315641241,1.154309353333907,1.478196959490913
1.2671793,0.37833488,0.37873596,0.3093114,0.30892688,1.31625315641241,1.154309353333907,1.478196959490913
1.2737224,0.37936425,0.37975046,0.30898103,0.30860725,1.31625315641241,1.154309353333907,1.478196959490913
1.2802657,0.3803924,0.38076496,0.30865112,0.30828762,1.31625315641241,1.154309353333907,1.478196959490913
1.2868088,0.38141936,0.38177943,0.30832162,0.307968,1.31625315641241,1.154309353333907,1.478196959490913
1.293352,0.38244522,0.38279393,0.30799264,0.30764836,1.31625315641241,1.154309353333907,1.478196959490913
1.2998952,0.3834697,0.38380843,0.3076642,0.30732873,1.31625315641241,1.154309353333907,1.478196959490913
1.3064383,0.38449296,0.3848229,0.3073363,0.30700913,1.31625315641241,1.154309353333907,1.478196959490913
1.3129816,0.38551497,0.38583744,0.30700895,0.30668947,1.31625315641241,1.154309353333907,1.478196959490913
1.3195248,0.3865357,0.3868519,0.3066823,0.30636987,1.31625315641241,1.154309353333907,1.478196959490913
1.3260679,0.38755512,0.3878664,0.30635625,0.30605024,1.31625315641241,1.154309353333907,1.478196959490913
1.3326111,0.38857314,0.3888809,0.30603093,0.3057306,1.31625315641241,1.154309353333907,1.478196959490913
1.3391542,0.38958982,0.38989538,0.30570632,0.30541098,1.31625315641241,1.154309353333907,1.478196959490913
1.3456975,0.3906051,0.3909099,0.30538246,0.30509135,1.31625315641241,1.154309353333907,1.478196959490913
1.3522407,0.391619,0.39192438,0.30505937,0.30477172,1.31625315641241,1.154309353333907,1.478196959490913
1.3587838,0.39263138,0.39293888,0.3047371,0.3044521,1.31625315641241,1.154309353333907,1.478196959490913
1.365327,0.39364237,0.39395335,0.30441564,0.30413246,1.31625315641241,1.154309353333907,1.478196959490913
1.3718703,0.39465186,0.39496788,0.3040951,0.30381283,1.31625315641241,1.154309353333907,1.478196959490913
1.3784134,0.39565986,0.39598235,0.3037754,0.3034932,1.31625315641241,1.154309353333907,1.478196959490913
1.3849566,0.39666626,0.39699686,0.30345663,0.30317357,1.31625315641241,1.154309353333907,1.478196959490913
1.3914998,0.3976712,0.39801136,0.30313888,0.30285394,1.31625315641241,1.154309353333907,1.478196959490913
1.3980429,0.39867458,0.39902583,0.30282205,0.3025343,1.31625315641241,1.154309353333907,1.478196959490913
1.4045862,0.39967632,0.40004036,0.3025062,0.30221468,1.31625315641241,1.154309353333907,1.478196959490913
1.4111294,0.40067643,0.40105483,0.3021914,0.30189508,1.31625315641241,1.154309353333907,1.478196959490913
1.4176725,0.40167493,0.40206933,0.30187765,0.30157545,1.31625315641241,1.154309353333907,1.478196959490913
1.4242157,0.40267175,0.4030838,0.30156496,0.30125582,1.31625315641241,1.154309353333907,1.478196959490913
1.4307588,0.40366688,0.4040983,0.30125335,0.3009362,1.31625315641241,1.154309353333907,1.478196959490913
1.4373021,0.4046603,0.4051128,0.30094287,0.30061656,1.31625315641241,1.154309353333907,1.478196959490913
1.4438453,0.40565205,0.4061273,0.30063355,0.30029693,1.31625315641241,1.154309353333907,1.478196959490913
1.4503884,0.40664202,0.4071418,0.3003254,0.2999773,1.31625315641241,1.154309353333907,1.478196959490913
1.4569316,0.4076302,0.40815628,0.3000184,0.29965767,1.31625315641241,1.154309353333907,1.478196959490913
1.4634748,0.4086167,0.40917078,0.29971263,0.29933804,1.31625315641241,1.154309353333907,1.478196959490913
1.470018,0.4096013,0.41018528,0.2994081,0.2990184,1.31625315641241,1.154309353333907,1.478196959490913
1.4765612,0.41058415,0.41119978,0.29910478,0.29869878,1.31625315641241,1.154309353333907,1.478196959490913
1.4831043,0.4115651,0.41221428,0.29880273,0.29837915,1.31625315641241,1.154309353333907,1.478196959490913
1.4896475,0.4125442,0.41322875,0.298502,0.29805952,1.31625315641241,1.154309353333907,1.478196959490913
1.4961907,0.41352138,0.41424325,0.29820254,0.29773992,1.31625315641241,1.154309353333907,1.478196959490913
1.502734,0.41449672,0.41525775,0.29790443,0.29742026,1.31625315641241,1.154309353333907,1.478196959490913
1.5092771,0.4154701,0.41627225,0.2976076,0.29710066,1.31625315641241,1.154309353333907,1.478196959490913
1.5158203,0.41644147,0.41728672,0.2973122,0.29678103,1.31625315641241,1.154309353333907,1.478196959490913
1.5223634,0.41741094,0.41830122,0.2970181,0.2964614,1.31625315641241,1.154309353333907,1.478196959490913
1.5289066,0.41837838,0.41931573,0.2967255,0.29614177,1.31625315641241,1.154309353333907,1.478196959490913
1.5354499,0.41934383,0.42033023,0.29643422,0.29582214,1.31625315641241,1.154309353333907,1.478196959490913
1.541993,0.42030725,0.4213447,0.29614443,0.2955025,1.31625315641241,1.154309353333907,1.478196959490913
1.5485362,0.42126864,0.4223592,0.2958561,0.29518288,1.31625315641241,1.154309353333907,1.478196959490913
1.5550793,0.4222279,0.4233737,0.29556915,0.29486325,1.31625315641241,1.154309353333907,1.478196959490913
1.5616226,0.42318517,0.4243882,0.29528373,0.29454362,1.31625315641241,1.154309353333907,1.478196959490913
1.5681658,0.42414024,0.4254027,0.2949998,0.294224,1.31625315641241,1.154309353333907,1.478196959490913
1.5747089,0.42509323,0.42641717,0.29471737,0.29390436,1.31625315641241,1.154309353333907,1.478196959490913
1.5812521,0.42604402,0.42743167,0.29443648,0.29358473,1.31625315641241,1.154309353333907,1.478196959490913
1.5877953,0.42699268,0.42844617,0.29415712,0.2932651,1.31625315641241,1.154309353333907,1.478196959490913
1.5943385,0.42793918,0.42946067,0.2938793,0.29294547,1.31625315641241,1.154309353333907,1.478196959490913
1.6008817,0.4288834,0.43047518,0.29360306,0.29262584,1.31625315641241,1.154309353333907,1.478196959490913
1.6074249,0.42982548,0.43148965,0.29332843,0.29230624,1.31625315641241,1.154309353333907,1.478196959490913
1.613968,0.43076524,0.43250415,0.2930554,0.2919866,1.31625315641241,1.154309353333907,1.478196959490913
1.6205112,0.4317027,0.43351865,0.29278398,0.29166698,1.31625315641241,1.154309353333907,1.478196959490913
1.6270545,0.43263796,0.43453315,0.29251415,0.29134735,1.31625315641241,1.154309353333907,1.478196959490913
1.6335976,0.4335708,0.43554762,0.29224598,0.29102772,1.31625315641241,1.154309353333907,1.478196959490913
1.6401408,0.43450138,0.43656212,0.29197952,0.2907081,1.31625315641241,1.154309353333907,1.478196959490913
